Index,Title,Producer,Region,AVA,Year,Rating,Price,Review,Links
0,Domaine Serene 2016 Monogram Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2016,96,295,"Rarely produced and given extended aging in barrel and bottle, Monogram is ...",https://www.winemag.com/buying-guide/domaine-serene-2016-monogram-pinot-noir-dundee-hills/
1,Domaine Serene 2012 Monogram Pinot Noir (Willamette Valley),Domaine Serene,WILLAMETTE VALLEY,Willamette Valley,2012,93,275,"As befits this ripe and forward vintage, this special cuvée is rich ...",https://www.winemag.com/buying-guide/domaine-serene-2012-monogram-pinot-noir-willamette-valley/
2,Hors Categorie 2016 Syrah (Walla Walla Valley (OR)),Hors Categorie,OREGON OTHER,Walla Walla Valley,2016,98,260,This project from Christophe Baron comes from a newly planted area of ...,https://www.winemag.com/buying-guide/hors-categorie-2016-syrah-walla-walla-valley-or/
3,Hors Categorie 2017 Syrah (Walla Walla Valley (OR)),Hors Categorie,OREGON OTHER,Walla Walla Valley,2017,96,250,"The nose shows classic Walla Walla Valley Syrah aromas of soot, black ...",https://www.winemag.com/buying-guide/hors-categorie-2017-syrah-walla-walla-valley-or/
4,Hors Categorie 2015 Syrah (Walla Walla Valley (OR)),Hors Categorie,OREGON OTHER,Walla Walla Valley,2015,96,240,"The domaine name means “without category,” and it is no doubt apt. ...",https://www.winemag.com/buying-guide/hors-categorie-2015-syrah-walla-walla-valley-or/
5,Hors Categorie 2014 Syrah (Walla Walla Valley (OR)),Hors Categorie,OREGON OTHER,Walla Walla Valley,2014,96,240,"This is a new project from Christophe Baron. The aromas pop, with ...",https://www.winemag.com/buying-guide/hors-categorie-2014-syrah-walla-walla-valley-or/
6,Domaine Serene 2017 Grace Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2017,95,195,The winery's top reserve-level Pinot shines again in this new vintage. Concentrated ...,https://www.winemag.com/buying-guide/domaine-serene-2017-grace-vineyard-pinot-noir-dundee-hills/
7,Domaine Serene 2016 Grace Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2016,96,195,Fully ripened grapes are maxed out yet don't seem over-the-top jammy. Black ...,https://www.winemag.com/buying-guide/domaine-serene-2016-grace-vineyard-pinot-noir-dundee-hills/
8,Domaine Serene 2015 Grace Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2015,93,195,"Aromatic and complex, this nicely detailed release has benefited from a bit ...",https://www.winemag.com/buying-guide/domaine-serene-2015-grace-vineyard-pinot-noir-dundee-hills-302169/
9,Bergström 2016 Winery Block Pinot Noir (Chehalem Mountains),Bergström,WILLAMETTE VALLEY,Chehalem Mountains,2016,93,185,"Bottled only in magnum in 2016, this was aged in a single ...",https://www.winemag.com/buying-guide/bergstrom-2016-winery-block-pinot-noir-chehalem-mountains/
10,Domaine Serene 2014 Grace Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2014,95,185,"With its sophisticated mix of mineral, acid and tart fruits, this seductive ...",https://www.winemag.com/buying-guide/domaine-serene-2014-grace-vineyard-pinot-noir-dundee-hills/
11,Domaine Serene 2013 Grace Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2013,94,185,"The best Grace to date, the wonderfully fruity entry bounces along, offering ...",https://www.winemag.com/buying-guide/domaine-serene-2013-grace-vineyard-pinot-noir-dundee-hills/
