Index,Producer,Wine Name,Year,Price,Size (ml),Score,Link
0,EVENING LAND,Pinot Noir Eola-Amity Hills Seven Springs Vineyard La Source,2012,70.00,750,98.00,https://www.winespectator.com/wine/detail/source/search/note_id/375834
1,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Upper Terrace,2012,100.00,750,97.00,https://www.winespectator.com/wine/detail/source/search/note_id/380243
2,DOMAINE SERENE,Pinot Noir Dundee Hills Grace Vineyard,2008,125.00,750,97.00,https://www.winespectator.com/wine/detail/source/search/note_id/295683
3,EVENING LAND,Chardonnay Eola-Amity Hills Seven Springs Vineyard La Source,2009,60.00,750,97.00,https://www.winespectator.com/wine/detail/source/search/note_id/310831
4,MAYSARA,Pinot Noir McMinnville Estate Cuvée,2008,32.00,750,97.00,https://www.winespectator.com/wine/detail/source/search/note_id/450995
5,SOTER,Pinot Noir Yamhill-Carlton District Mineral Springs Ranch,2008,48.00,750,97.00,https://www.winespectator.com/wine/detail/source/search/note_id/450991
6,ARGYLE,Extended Tirage Willamette Valley,2002,70.00,750,96.00,https://www.winespectator.com/wine/detail/source/search/note_id/333010
7,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Upper Terrace,2017,110.00,750,96.00,https://www.winespectator.com/wine/detail/source/search/note_id/1240271
8,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Upper Terrace,2016,110.00,750,96.00,https://www.winespectator.com/wine/detail/source/search/note_id/458259
9,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Upper Terrace,2013,100.00,750,96.00,https://www.winespectator.com/wine/detail/source/search/note_id/404826
10,EMINENT DOMAINE,Pinot Noir Ribbon Ridge Reserve,2014,55.00,750,96.00,https://www.winespectator.com/wine/detail/source/search/note_id/420776
11,EVENING LAND,Chardonnay Eola-Amity Hills Seven Springs Vineyard La Source,2012,65.00,750,96.00,https://www.winespectator.com/wine/detail/source/search/note_id/378465
12,EVENING LAND,Chardonnay Eola-Amity Hills Seven Springs Vineyard Summum,2012,90.00,750,96.00,https://www.winespectator.com/wine/detail/source/search/note_id/375832
13,EVENING LAND,Chardonnay Eola-Amity Hills Seven Springs Vineyard Summum,2010,90.00,750,96.00,https://www.winespectator.com/wine/detail/source/search/note_id/333753
14,EVENING LAND,Pinot Noir Eola-Amity Hills Seven Springs Vineyard,2012,50.00,750,96.00,https://www.winespectator.com/wine/detail/source/search/note_id/375833
15,EVENING LAND,Pinot Noir Eola-Amity Hills Seven Springs Vineyard,2008,39.00,750,96.00,https://www.winespectator.com/wine/detail/source/search/note_id/450999
16,EVENING LAND,Pinot Noir Eola-Amity Hills Seven Springs Vineyard La Source,2008,65.00,750,96.00,https://www.winespectator.com/wine/detail/source/search/note_id/290316
17,MATZINGER DAVIES,Pinot Noir Willamette Valley,2008,36.00,750,96.00,https://www.winespectator.com/wine/detail/source/search/note_id/450997
18,ROSE & ARROW,Pinot Noir Chehalem Mountains 1st The Point Chehalem Highlands,2016,150.00,750,96.00,https://www.winespectator.com/wine/detail/source/search/note_id/461600
19,ADELSHEIM,Pinot Noir Chehalem Mountains Quarter Mile Lane Vineyard,2012,125.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/378336
20,ALEXANA,Pinot Noir Dundee Hills Signature,2012,75.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/378489
21,ALEXANA,Pinot Noir Dundee Hills West Blocks - Sedimentary Soils,2016,65.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/461027
22,ALEXANA,Pinot Noir Dundee Hills West Blocks Sedimentary Soils,2017,65.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/1242617
23,ALLORO,Pinot Noir Chehalem Mountains Justina,2014,85.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/427225
24,ARCHERY SUMMIT,Pinot Noir Dundee Hills Arcus Estate,2005,100.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/233967
25,ARCHERY SUMMIT,Pinot Noir Oregon Arcus Estate,1999,75.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/93722
26,ARCHERY SUMMIT,Pinot Noir Willamette Valley Arcus Estate,2003,75.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/204425
27,ARGYLE,Extended Tirage Willamette Valley,2000,60.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/289640
28,ARGYLE,Extended Tirage Willamette Valley,1999,60.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/271315
29,ARGYLE,Extended Tirage Willamette Valley,1998,50.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/252573
30,ARGYLE,Pinot Noir Eola-Amity Hills Nuthouse,2008,50.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/450967
31,ARTERBERRY,Pinot Noir Yamhill County Red Hills Vineyard Winemaker's Reserve,1985,16.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/6628
32,ARTERBERRY MARESH,Pinot Noir Dundee Hills Old Vines,2016,45.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/1228477
33,AYOUB,Pinot Noir Dundee Hills ??? Vineyards,2010,45.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/331824
34,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Beaux Frères Vineyard,2018,95.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/1248606
35,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Beaux Frères Vineyard,2017,95.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/1233450
36,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Beaux Frères Vineyard,2016,95.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/456019
37,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Beaux Frères Vineyard,2015,95.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/441003
38,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Beaux Frères Vineyard,2014,90.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/420777
39,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Beaux Frères Vineyard,2013,90.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/407883
40,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Beaux Frères Vineyard,2012,90.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/380242
41,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Beaux Frères Vineyard,2006,80.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/407880
42,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Upper Terrace,2015,110.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/441002
43,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Upper Terrace,2008,90.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/283432
44,BEAUX FRÈRES,Pinot Noir Willamette Valley The Beaux Frères Vineyard,2004,75.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/204718
45,BEAUX FRÈRES,Pinot Noir Willamette Valley The Beaux Frères Vineyard,2002,75.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/141307
46,BEAUX FRÈRES,Pinot Noir Yamhill County The Beaux Frères Vineyard,1994,40.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/407875
47,BERGSTRÖM,Pinot Noir Chehalem Mountains Winery Block,2012,75.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/380245
48,BERGSTRÖM,Pinot Noir Dundee Hills Bergström Vineyard,2012,85.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/380246
49,BERGSTRÖM,Pinot Noir Ribbon Ridge Le Pré Du Col Vineyard,2013,60.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/403905
50,BERGSTRÖM,Pinot Noir Willamette Valley Arcus Vineyard,2003,85.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/156013
51,BERGSTRÖM,Pinot Noir Willamette Valley Bergstrom Vineyard Whole Cluster Selection,2003,65.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/156221
52,BETHEL HEIGHTS,Pinot Noir Eola-Amity Hills Aeolian,2014,42.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/415573
53,BETHEL HEIGHTS,Pinot Noir Eola-Amity Hills Flat Block,2016,60.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/462347
54,BETHEL HEIGHTS,Pinot Noir Eola-Amity Hills Flat Block,2012,58.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/380164
55,BIG TABLE FARM,Chardonnay Willamette Valley,2012,42.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/370623
56,BIG TABLE FARM,Pinot Noir Willamette Valley,2012,40.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/378236
57,BOMB,Pinot Noir Willamette Valley,2012,50.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/394448
58,BRICK HOUSE,Pinot Noir Ribbon Ridge Evelyn's,2012,68.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/378466
59,COLENE CLEMENS,Pinot Noir Chehalem Mountains Dopp Creek,2015,26.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/461597
60,DOMAINE SERENE,Chardonnay Dundee Hills Evenstad Reserve,2014,55.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/424528
61,DOMAINE SERENE,Pinot Noir Dundee Hills Côte Sud Vineyard,2016,100.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/1236077
62,DOMAINE SERENE,Pinot Noir Dundee Hills Grace Vineyard,2015,195.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/461598
63,DOMAINE SERENE,Pinot Noir Dundee Hills Winery Hill Vineyard,2008,75.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/303241
64,DOMAINE SERENE,Pinot Noir Willamette Valley Evenstad Reserve,2010,65.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/355180
65,ELK COVE,Pinot Noir Willamette Valley Mount Richmond,2008,48.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/450974
66,EMINENT DOMAINE,Pinot Noir Ribbon Ridge Reserve,2016,65.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/463453
67,ERATH,Pinot Blanc Dundee Hills Sweet Harvest,2009,25.00,375,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/295346
68,EVENING LAND,Chardonnay Eola-Amity Hills Seven Springs Vineyard La Source,2010,60.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/333754
69,EVENING LAND,Chardonnay Eola-Amity Hills Seven Springs Vineyard Summum,2013,90.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/405887
70,EVENING LAND,Chardonnay Eola-Amity Hills Seven Springs Vineyard Summum,2009,120.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/310832
71,EVENING LAND,Chardonnay Eola-Amity Hills Seven Springs Vineyard Summum,2008,120.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/292273
72,EVENING LAND,Chardonnay Eola-Amity Hills Summum Seven Springs Estate,2015,100.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/443841
73,EVENING LAND,Chardonnay Eola-Amity Hills Summum Seven Springs Estate,2014,100.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/424188
74,EVENING LAND,Pinot Noir Eola-Amity Hills Seven Springs Vineyard La Source,2010,60.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/331836
